,EURUSD_1W,EURUSD_1M,EURUSD_3M,EURUSD_6M,GBPUSD_1W,GBPUSD_1M,GBPUSD_3M,GBPUSD_6M,EURUSD_GBPUSD_1W,EURUSD_GBPUSD_1M,EURUSD_GBPUSD_3M,EURUSD_GBPUSD_6M,MOVE,MOVE_DayChg,MOVE_PctChg,MOVE_AbsDayChg,USGG2YR,USGG2YR_DayChg,USGG2YR_PctChg,USGG2YR_AbsDayChg,USGG10YR,USGG10YR_DayChg,USGG10YR_PctChg,USGG10YR_AbsDayChg,SPX,SPX_DayChg,SPX_PctChg,SPX_AbsDayChg,VIX,VIX_DayChg,VIX_PctChg,VIX_AbsDayChg,2s10s,2s10s_DayChg,2s10s_PctChg,2s10s_AbsDayChg,USGG2YR_RVol_1w,USGG10YR_RVol_1w,2s10s_RVol_1w,SPX_RVol_1w,USGG2YR_RVol_1m,USGG10YR_RVol_1m,2s10s_RVol_1m,SPX_RVol_1m,USGG2YR_RVol_3m,USGG10YR_RVol_3m,2s10s_RVol_3m,SPX_RVol_3m,EESWE1,EESWE1_DayChg,EESWE1_PctChg,EESWE1_AbsDayChg,EESWE2,EESWE2_DayChg,EESWE2_PctChg,EESWE2_AbsDayChg,SX5E,SX5E_DayChg,SX5E_PctChg,SX5E_AbsDayChg,V2X,V2X_DayChg,V2X_PctChg,V2X_AbsDayChg,GBTPGR10,GBTPGR10_DayChg,GDBR10,GDBR10_DayChg,EURUSD_HVol_1w,EURUSD_HVol_1w_DayChg,EURUSD_HVol_1m,EURUSD_HVol_1m_DayChg,EURUSD_HVol_3m,EURUSD_HVol_3m_DayChg,EUR_OIS_1Y2Y_Slope,EUR_OIS_1Y2Y_Slope_DayChg,EUR_OIS_1Y2Y_Slope_PctChg,EUR_OIS_1Y2Y_Slope_AbsDayChg,BTP_Bund_10Y_Spread,BTP_Bund_10Y_Spread_DayChg,BTP_Bund_10Y_Spread_AbsDayChg,EESWE2_DayChg_RollStd_1w,EUR_OIS_1Y2Y_Slope_DayChg_RollStd_1w,BTP_Bund_10Y_Spread_DayChg_RollStd_1w,SX5E_RVol_1w,EESWE2_DayChg_RollStd_1m,EUR_OIS_1Y2Y_Slope_DayChg_RollStd_1m,BTP_Bund_10Y_Spread_DayChg_RollStd_1m,SX5E_RVol_1m,EESWE2_DayChg_RollStd_3m,EUR_OIS_1Y2Y_Slope_DayChg_RollStd_3m,BTP_Bund_10Y_Spread_DayChg_RollStd_3m,SX5E_RVol_3m,GBPUSD,GBPUSD_DayChg,GBPUSD_PctChg,GBPUSD_LogRet,GBPUSD_LogRet_Abs,GBPUSD_HVol_1w,GBPUSD_HVol_1w_DayChg,GBPUSD_HVol_1m,GBPUSD_HVol_1m_DayChg,GBPUSD_HVol_3m,GBPUSD_HVol_3m_DayChg,GUKG2,GUKG10,GUKG2_DayChg,GUKG2_AbsDayChg,GUKG2_PctChg,GUKG10_DayChg,GUKG10_AbsDayChg,GUKG10_PctChg,UK_2s10s,UK_2s10s_DayChg,UK_2s10s_AbsDayChg,UKX,IVIUK,UKX_DayChg,UKX_PctChg,UKX_PctChg_Abs,IVIUK_DayChg,IVIUK_PctChg,GUKG2_DayChg_RollStd_1w,GUKG10_DayChg_RollStd_1w,UK_2s10s_DayChg_RollStd_1w,UKX_RVol_1w,GUKG2_DayChg_RollStd_1m,GUKG10_DayChg_RollStd_1m,UK_2s10s_DayChg_RollStd_1m,UKX_RVol_1m,GUKG2_DayChg_RollStd_3m,GUKG10_DayChg_RollStd_3m,UK_2s10s_DayChg_RollStd_3m,UKX_RVol_3m
2011-04-28,10.14,10.5825,11.675,12.38,8.1075,8.3175,8.92,9.6075,2.0325000000000006,2.264999999999999,2.755000000000001,2.772500000000001,76.8,-2.4000000000000057,-0.030303030303030387,2.4000000000000057,0.6171,-0.023700000000000054,-0.03698501872659188,0.023700000000000054,3.3106,-0.04459999999999997,-0.013292799237005215,0.04459999999999997,1360.48,4.819999999999936,0.003555463759349564,4.819999999999936,14.62,-0.7300000000000004,-0.047557003257329034,0.7300000000000004,2.6935000000000002,-0.020899999999999697,-0.007699675803123918,0.020899999999999697,0.4406947515004012,0.6474775671789718,0.210366879522418,0.062420967670712195,0.5939182468993521,0.7471879040776831,0.3264386741793944,0.08935681099566414,0.6506537962546943,0.911265168730779,0.4565074058686271,0.13349725154216974,1.496,0.0129999999999999,0.008766014834794333,0.0129999999999999,1.86,-0.011499999999999844,-0.0061448036334490475,0.011499999999999844,3005.33,27.73999999999978,0.009316259122310155,27.73999999999978,18.8269,-1.0067000000000021,-0.05075730074217499,1.0067000000000021,4.767,-0.04699999999999971,3.262,-0.029999999999999805,8.7941,0.21250000000000036,9.0084,0.006899999999999906,9.4639,-0.033500000000000085,-0.3640000000000001,0.024499999999999744,-0.06306306306306242,0.024499999999999744,1.5050000000000003,-0.016999999999999904,0.016999999999999904,0.04643355467762501,0.01558685343486607,0.053227812278920573,0.11084534691398476,0.04165890403880406,0.016030365530692595,0.05704989462032752,0.16736436483434136,0.05336116305402497,0.017791321086158367,0.055954602694720496,0.16687427654183015,1.6632,0.0004999999999999449,0.00030071570337408815,0.0003006704974694019,0.0003006704974694019,9.4475,-0.07060000000000066,9.0908,0.1164000000000005,8.8888,0.005300000000000082,1.098,3.483,-0.08699999999999997,0.08699999999999997,-0.07341772151898729,-0.08699999999999974,0.08699999999999974,-0.024369747899159577,2.385,0.0,0.0,6069.9,15.28,1.7399999999997817,0.00028674260401828633,0.00028674260401828633,0.10999999999999943,0.007251153592616966,0.06799999999999994,0.06815937206283515,0.015833508770958092,0.14942216781560022,0.051566369623917446,0.050189260850922145,0.019448589127430742,0.15108951832021775,0.04714523105320313,0.04440466409678589,0.027817293961094988,0.144241395110735
2011-05-03,11.205,11.165,11.99,12.8,9.2225,8.8375,9.33,9.9525,1.9825,2.327499999999999,2.66,2.8475,80.1,3.799999999999997,0.04980340760157276,3.799999999999997,0.6013,0.0,0.0,0.0,3.2473,-0.03149999999999986,-0.009607173356105836,0.03149999999999986,1356.62,-4.600000000000136,-0.0033793214910154967,4.600000000000136,16.7,0.7099999999999991,0.044402751719824884,0.7099999999999991,2.646,-0.031500000000000306,-0.01176470588235301,0.031500000000000306,0.3762650183049184,0.5744824070413295,0.24955413040060173,0.0623765191401125,0.5627582713741306,0.7174826743552771,0.3390849628043108,0.08770672915439308,0.6400502540753621,0.8878484511773753,0.44981944908395616,0.12364238720563135,1.555,0.03400000000000003,0.02235371466140701,0.03400000000000003,1.938,0.04299999999999993,0.022691292875989477,0.04299999999999993,3000.39,-8.5,-0.002824962029186806,8.5,20.7988,1.1775999999999982,0.060016716612643295,1.1775999999999982,4.697,-0.0129999999999999,3.279,0.03299999999999992,9.3783,0.028799999999998604,8.8032,0.06550000000000011,9.3966,0.009100000000000108,-0.383,-0.008999999999999897,0.024064171122994304,0.008999999999999897,1.4180000000000001,-0.04599999999999982,0.04599999999999982,0.030588805141750684,0.01582482227388337,0.014152738250953232,0.08311143304264228,0.04141252973494397,0.015037849073650885,0.057716094973998516,0.16199099470265227,0.05360183946526855,0.017740610549606538,0.05272561790448874,0.16126925315067445,1.6487,-0.016799999999999926,-0.010087060942659765,-0.01013828006660139,0.01013828006660139,10.6873,0.8303000000000011,9.0627,0.23080000000000034,8.8563,0.035800000000000054,1.022,3.421,-0.15300000000000002,0.15300000000000002,-0.1302127659574468,-0.03100000000000014,0.03100000000000014,-0.008980301274623459,2.399,0.12199999999999989,0.12199999999999989,6082.88,16.18,12.980000000000473,0.0021384207318078108,0.0021384207318078108,0.9000000000000004,0.05890052356020936,0.09207171118209978,0.06489375933015433,0.059525624734226866,0.059867239909550875,0.059705587199667856,0.04979414767678172,0.03253810952450324,0.1506393311940162,0.05078607886470085,0.04425726007249457,0.03159106506126484,0.14129811443057738
2011-05-04,11.46,11.1425,12.09,12.81,9.705,8.9125,9.5675,10.1225,1.7550000000000008,2.2300000000000004,2.522499999999999,2.6875,80.2,0.10000000000000853,0.0012484394506866447,0.10000000000000853,0.5854,-0.015899999999999914,-0.02644270746715438,0.015899999999999914,3.2159,-0.031400000000000095,-0.009669571644135178,0.031400000000000095,1347.32,-9.299999999999955,-0.006855272662941725,9.299999999999955,17.08,0.379999999999999,0.022754491017964007,0.379999999999999,2.6305,-0.015499999999999847,-0.0058578987150414985,0.015499999999999847,0.16843219407227392,0.21492407031321506,0.15674177490382282,0.0673042787110856,0.5523159965092445,0.7198063823001298,0.33837342094201306,0.09170761503419592,0.6308202934121929,0.8857018037473391,0.449562877298784,0.12436985985607858,1.599,0.04400000000000004,0.028295819935691302,0.04400000000000004,1.975,0.037000000000000144,0.01909184726522195,0.037000000000000144,2952.02,-48.36999999999989,-0.016121237572448877,48.36999999999989,21.8564,1.0576000000000008,0.050849087447352836,1.0576000000000008,4.703,0.006000000000000227,3.296,0.016999999999999904,9.5413,0.16300000000000026,8.9573,0.15409999999999968,9.4519,0.05530000000000079,-0.3760000000000001,0.006999999999999895,-0.01827676240208853,0.006999999999999895,1.4070000000000005,-0.010999999999999677,0.010999999999999677,0.022829805080201496,0.015402921800749217,0.014713938969562159,0.14740705079809388,0.04176017127313901,0.014587788435145663,0.057213010508350017,0.16148837188744794,0.05338243227674111,0.017758784416821254,0.04928582633913521,0.1644077538235145,1.6488,9.999999999998899e-05,6.065384848663591e-05,6.06520091163687e-05,6.06520091163687e-05,9.4406,-1.2467000000000006,9.0562,-0.006499999999999062,8.891,0.03470000000000084,1.017,3.379,-0.0050000000000001155,0.0050000000000001155,-0.004892367906066619,-0.041999999999999815,0.041999999999999815,-0.012277111955568465,2.362,-0.03699999999999992,0.03699999999999992,5984.07,17.93,-98.8100000000004,-0.016243950234099747,0.016243950234099747,1.75,0.10815822002472197,0.09346015193653386,0.06431407311001218,0.06239951922891708,0.14514956421063963,0.05908714307013393,0.04906846528794524,0.03392414507467529,0.16217193828858908,0.050486927530901476,0.04450977213678139,0.03168364004648111,0.14507860067323486
2011-05-05,12.995,11.845,12.6075,13.085,9.765,9.1825,9.74,10.3025,3.2299999999999986,2.6625000000000014,2.8674999999999997,2.7825000000000006,83.4,3.200000000000003,0.03990024937655856,3.200000000000003,0.5734,-0.01200000000000001,-0.020498804236419588,0.01200000000000001,3.1499,-0.06599999999999984,-0.02052302621350166,0.06599999999999984,1335.1,-12.220000000000027,-0.009069857197993025,12.220000000000027,18.2,1.120000000000001,0.06557377049180335,1.120000000000001,2.5765000000000002,-0.053999999999999826,-0.02052841665082672,0.053999999999999826,0.12909010806409627,0.33824735919146387,0.31139942196478154,0.07040512803267993,0.5016835695934238,0.6966732002883423,0.38278753898213647,0.0975580942760969,0.6233240114304971,0.880556349793294,0.4574822020158714,0.1257864724524485,1.469,-0.1299999999999999,-0.08130081300812997,0.1299999999999999,1.8395,-0.13550000000000018,-0.06860759493670898,0.13550000000000018,2926.54,-25.480000000000018,-0.008631377836193499,25.480000000000018,22.5461,0.6896999999999984,0.03155597445141911,0.6896999999999984,4.678,-0.025000000000000355,3.215,-0.08099999999999996,11.3538,1.8125,9.6026,0.6453000000000007,9.5661,0.1142000000000003,-0.37049999999999983,0.0055000000000002824,-0.014627659574468876,0.0055000000000002824,1.463,0.055999999999999606,0.055999999999999606,0.07478502523901431,0.010022474744293408,0.038746612755181396,0.1143537432646388,0.05184266490798778,0.014590644425860805,0.05762766366119326,0.16401845357641626,0.05485140985734511,0.01739665925401209,0.047017193530188524,0.1649033794851048,1.6389,-0.00990000000000002,-0.006004366812227047,-0.0060224655064676225,0.0060224655064676225,9.7513,0.31070000000000064,9.145,0.0887999999999991,8.9456,0.05460000000000065,1.023,3.386,0.006000000000000005,0.006000000000000005,0.005899705014749346,0.007000000000000117,0.007000000000000117,0.0020716188221368004,2.3630000000000004,0.001000000000000334,0.001000000000000334,5919.98,18.49,-64.09000000000015,-0.010710101987443377,0.010710101987443377,0.5599999999999987,0.031232571109871543,0.09541383547473602,0.06450426342498601,0.06185224328995666,0.1282266694484248,0.05792548579651191,0.04868724287785889,0.033513607755088104,0.16496275958149537,0.04877449494240655,0.04397636450322643,0.031088249591651344,0.14311836775889608
2011-05-06,15.85,12.68,13.235,13.545,9.135,9.05,9.73,10.305,6.715,3.629999999999999,3.504999999999999,3.24,84.1,0.6999999999999886,0.008393285371702586,0.6999999999999886,0.5493,-0.02410000000000001,-0.04202999651203354,0.02410000000000001,3.1459,-0.0040000000000000036,-0.0012698815835423538,0.0040000000000000036,1340.2,5.100000000000136,0.003819938581379745,5.100000000000136,18.4,0.1999999999999993,0.01098901098901095,0.1999999999999993,2.5966,0.020099999999999785,0.0078012808072966955,0.020099999999999785,0.1658905060574596,0.3939971624263289,0.43805070939332885,0.07894135630127398,0.49354035701247345,0.6333665289546019,0.34195306695510147,0.09815994753530952,0.618847578294761,0.8599963608325099,0.4484904616528075,0.1258764553721921,1.486,0.016999999999999904,0.011572498298161982,0.016999999999999904,1.8205,-0.018999999999999906,-0.01032889372111978,0.018999999999999906,2952.9,26.360000000000127,0.00900722354726069,26.360000000000127,19.9772,-2.5688999999999993,-0.11393988317269943,2.5688999999999993,4.662,-0.016000000000000014,3.17,-0.04499999999999993,12.371,1.0172000000000008,9.8839,0.2812999999999999,9.6147,0.048599999999998644,-0.3345,0.03599999999999981,-0.09716599190283359,0.03599999999999981,1.492,0.028999999999999915,0.028999999999999915,0.07477666748391511,0.019756011743264263,0.041996428419569035,0.14832338695725628,0.051821706703989286,0.01611823870798595,0.05761551543679545,0.1671391063326959,0.054493652068102465,0.01719302854109031,0.04649232851065931,0.16586110821346298,1.6367,-0.0021999999999999797,-0.001342363780584499,-0.001343265557943396,0.001343265557943396,10.037,0.2857000000000003,9.1774,0.03240000000000087,8.9587,0.013099999999999667,1.014,3.383,-0.008999999999999897,0.008999999999999897,-0.008797653958944163,-0.0030000000000001137,0.0030000000000001137,-0.0008860011813349722,2.3689999999999998,0.005999999999999339,0.005999999999999339,5976.77,16.56,56.79000000000087,0.009592937813979185,0.009592937813979185,-1.9299999999999997,-0.104380746349378,0.06859154466842103,0.03702971779530588,0.0604094363489678,0.1647119225600379,0.057168172963634224,0.047755229082917273,0.033513607755088104,0.15707318381734547,0.04676899029978127,0.043264668509288694,0.030514314671930477,0.1437126937075317
2011-05-09,14.145,12.7525,12.87,13.3,9.0925,9.375,9.7925,10.3875,5.0525,3.3774999999999995,3.077499999999999,2.9125000000000014,82.4,-1.6999999999999886,-0.02021403091557661,1.6999999999999886,0.5453,-0.0040000000000000036,-0.007281995266703034,0.0040000000000000036,3.1604,0.014499999999999957,0.004609173845322445,0.014499999999999957,1346.3,6.099999999999909,0.004551559468735977,6.099999999999909,17.16,-1.2399999999999984,-0.06739130434782603,1.2399999999999984,2.6151,0.01849999999999996,0.0071247015327735586,0.01849999999999996,0.15193571008818188,0.4864926762038658,0.5092234322966678,0.09788266391993879,0.477645487783565,0.6407588563570545,0.2964755571712442,0.09908084086590961,0.6176046966226233,0.8611453161249095,0.4494616923645726,0.12560207066441706,1.466,-0.020000000000000018,-0.013458950201884257,0.020000000000000018,1.7835,-0.03699999999999992,-0.0203240867893435,0.03699999999999992,2902.4,-50.5,-0.01710183209726035,50.5,22.5141,2.5368999999999993,0.12698976833590292,2.5368999999999993,4.672,0.009999999999999787,3.103,-0.06699999999999973,13.1313,0.7602999999999991,10.1882,0.30429999999999957,9.6754,0.06070000000000064,-0.3175000000000001,0.016999999999999904,-0.05082212257100116,0.016999999999999904,1.5689999999999995,0.07699999999999951,0.07699999999999951,0.07214880456390117,0.016634301909007058,0.04984475900232608,0.17050824365285888,0.05230634351040582,0.01609059174975054,0.057890948383679926,0.17525766115496597,0.05436981284590864,0.017303653101304387,0.0460932790521994,0.16809087645237508,1.6404,0.0037000000000000366,0.0022606464226797574,0.0022580950060659966,0.0022580950060659966,10.1298,0.09279999999999866,9.1255,-0.051899999999999835,8.9722,0.013500000000000512,0.993,3.364,-0.02100000000000002,0.02100000000000002,-0.020710059171597628,-0.019000000000000128,0.019000000000000128,-0.005616316878510275,2.371,0.002000000000000224,0.002000000000000224,5942.69,18.18,-34.08000000000084,-0.005702076539669587,0.005702076539669587,1.620000000000001,0.09782608695652173,0.06589233642844969,0.019969977466186582,0.060263587679460225,0.16268737080163417,0.05700254797980942,0.04759261647416693,0.0335266063497833,0.15810867362121106,0.04637276333930838,0.04321615374718647,0.029181223051850322,0.14405844423765626
2011-05-10,12.1225,12.1475,12.415,12.9075,9.0075,9.1725,9.6575,10.265,3.115,2.9750000000000014,2.7574999999999985,2.6425,80.1,-2.3000000000000114,-0.027912621359223455,2.3000000000000114,0.585,0.03969999999999996,0.0728039611223179,0.03969999999999996,3.2135,0.0530999999999997,0.016801670674598146,0.0530999999999997,1357.16,10.860000000000127,0.008066552774270264,10.860000000000127,15.91,-1.25,-0.07284382284382285,1.25,2.6285,0.013399999999999856,0.005124087033000491,0.013399999999999856,0.39817588575904467,0.7169643756840345,0.5033007649507377,0.12026507497551932,0.4946990115211468,0.6651349878032279,0.30055474709277147,0.10101221706815403,0.595586276624324,0.8382453825046232,0.44839144045238827,0.12632095586748485,1.452,-0.014000000000000012,-0.009549795361528002,0.014000000000000012,1.781,-0.0025000000000001688,-0.0014017381553126373,0.0025000000000001688,2939.02,36.61999999999989,0.012617144432194083,36.61999999999989,21.5022,-1.0119000000000007,-0.04494516769491119,1.0119000000000007,4.638,-0.03399999999999981,3.122,0.018999999999999684,13.5765,0.4451999999999998,10.4072,0.21899999999999942,9.7091,0.03369999999999962,-0.32899999999999996,-0.011499999999999844,0.036220472440944285,0.011499999999999844,1.516,-0.05299999999999949,0.05299999999999949,0.06429560638177392,0.017416228064652664,0.05223791726322896,0.22243279070269867,0.05229122889211556,0.016446232742745932,0.05961703176266378,0.18139097123115777,0.053830939962871055,0.017377708911852818,0.04600155276882354,0.1699575292406884,1.6366,-0.0038000000000000256,-0.002316508168739295,-0.0023191954246228885,0.0023191954246228885,9.4531,-0.6767000000000003,9.1373,0.011799999999999145,8.9593,-0.012900000000000134,1.02,3.379,0.027000000000000024,0.027000000000000024,0.027190332326284095,0.015000000000000124,0.015000000000000124,0.004458977407847842,2.359,-0.01200000000000001,0.01200000000000001,6018.89,16.83,76.20000000000073,0.012822476016753459,0.012822476016753459,-1.3500000000000014,-0.07425742574257432,0.018105247858010518,0.02266715685744465,0.017564168070250182,0.201823591524506,0.0546609027158744,0.046110736276923664,0.03325679307621653,0.1646466442053362,0.045243110725284565,0.04289968531949892,0.02876177378633667,0.14627853432484875
2011-05-11,13.05,12.425,12.6175,13.01,8.89,9.055,9.675,10.205,4.16,3.370000000000001,2.942499999999999,2.8049999999999997,83.2,3.1000000000000085,0.03870162297128599,3.1000000000000085,0.545,-0.039999999999999925,-0.06837606837606824,0.039999999999999925,3.1593,-0.054199999999999804,-0.01686634510658158,0.054199999999999804,1342.08,-15.080000000000155,-0.01111143859235475,15.080000000000155,16.95,1.0399999999999991,0.06536769327467007,1.0399999999999991,2.6143,-0.014199999999999768,-0.005402320715236719,0.014199999999999768,0.4756043355563525,0.7816800138163927,0.5014291934062053,0.13823176051036337,0.49538575272205765,0.6707549537647857,0.3016037731859464,0.10880701803641976,0.5908406793604319,0.8267292008952526,0.44448319972605227,0.12826153391667727,1.439,-0.0129999999999999,-0.008953168044077087,0.0129999999999999,1.7635,-0.01749999999999985,-0.009825940482874662,0.01749999999999985,2942.43,3.4099999999998545,0.001160250695810161,3.4099999999998545,21.0675,-0.4346999999999994,-0.020216535982364614,0.4346999999999994,4.631,-0.006999999999999673,3.128,0.006000000000000227,13.8373,0.2608000000000015,10.5456,0.13840000000000074,9.7606,0.05150000000000077,-0.3245,0.0044999999999999485,-0.013677811550151797,0.0044999999999999485,1.5030000000000001,-0.0129999999999999,0.0129999999999999,0.05351705335685069,0.01758763770379624,0.05253760557924159,0.1955374520495063,0.04827891435635824,0.016030551189169028,0.05809442232057989,0.17949319868034128,0.05380810544872927,0.017237156367911063,0.04568491119736483,0.16987224198229223,1.6345,-0.0020999999999999908,-0.0012831479897348341,-0.0012839719290160256,0.0012839719290160256,9.5879,0.13480000000000025,9.1526,0.01529999999999987,8.997,0.03769999999999918,1.063,3.437,0.04299999999999993,0.04299999999999993,0.04215686274509789,0.05799999999999983,0.05799999999999983,0.01716484166913279,2.3739999999999997,0.01499999999999968,0.01499999999999968,5976.0,17.03,-42.89000000000033,-0.007125898629149252,0.007125898629149252,0.20000000000000284,0.011883541295306221,0.02604227332626689,0.028875595231960142,0.0097621718894924,0.16915602238670396,0.056339574182342006,0.04888606773967018,0.03249549419315148,0.1652014120080903,0.04536411826329762,0.04359126826228844,0.02862840836457711,0.14585870605354992
2011-05-12,13.045,12.315,12.725,13.03,8.77,9.065,9.735,10.2675,4.275,3.25,2.99,2.7624999999999993,81.9,-1.2999999999999972,-0.015625,1.2999999999999972,0.5509,0.005899999999999905,0.010825688073394346,0.005899999999999905,3.2225,0.06320000000000014,0.02000443136137764,0.06320000000000014,1348.65,6.570000000000164,0.004895386266094537,6.570000000000164,16.03,-0.9199999999999982,-0.05427728613569316,0.9199999999999982,2.6716,0.05730000000000013,0.02191791301686874,0.05730000000000013,0.4832255994874438,0.7497906667864027,0.40487371364414315,0.11956279548396324,0.43374735503516276,0.6727946997413103,0.373454527352394,0.10523485188528425,0.5843107204771415,0.8318959604615578,0.46063521499156207,0.1285901625583462,1.445,0.006000000000000005,0.004169562195969423,0.006000000000000005,1.775,0.011499999999999844,0.006521122767224163,0.011499999999999844,2917.05,-25.379999999999654,-0.00862552380175563,25.379999999999654,21.8671,0.7996000000000016,0.03795419484988738,0.7996000000000016,4.582,-0.04900000000000038,3.109,-0.019000000000000128,12.6827,-1.1546000000000003,10.773,0.22739999999999938,9.8121,0.05149999999999899,-0.32999999999999985,-0.005499999999999838,0.016949152542372392,0.005499999999999838,1.4729999999999999,-0.03000000000000025,0.03000000000000025,0.01832143553327609,0.018971689434523077,0.05154609587543919,0.19552228846358277,0.04847127278826385,0.01592755175040727,0.057356778152193894,0.1814204016853238,0.053807634409415626,0.01718528735233972,0.045815655018254006,0.1706396264142573,1.6291,-0.005400000000000071,-0.00330376261853782,-0.0033092320921416785,0.0033092320921416785,9.0135,-0.5743999999999989,9.2705,0.11790000000000056,8.9985,0.0015000000000000568,1.015,3.377,-0.04800000000000004,0.04800000000000004,-0.045155221072436524,-0.06000000000000005,0.06000000000000005,-0.01745708466686069,2.362,-0.011999999999999567,0.011999999999999567,5944.96,17.7,-31.039999999999964,-0.005194109772423072,0.005194109772423072,0.6699999999999982,0.039342337052260534,0.03671239572678407,0.04342464737910948,0.01175584960774815,0.15119395067523395,0.05666257688322707,0.04989236032748522,0.032620399693910465,0.16505291565738495,0.045586961062843545,0.044097962677883296,0.02848305970608093,0.1455334545946966
2011-05-13,13.61,12.765,12.935,13.2125,9.195,9.1325,9.7225,10.3175,4.414999999999999,3.6325000000000003,3.2125000000000004,2.8949999999999996,82.1,0.19999999999998863,0.0024420024420022113,0.19999999999998863,0.5325,-0.018399999999999972,-0.03339989108731167,0.018399999999999972,3.1709,-0.05160000000000009,-0.016012412723041103,0.05160000000000009,1337.77,-10.88000000000011,-0.008067326585845191,10.88000000000011,17.07,1.0399999999999991,0.06487835308795997,1.0399999999999991,2.6384,-0.03320000000000034,-0.012427010031441976,0.03320000000000034,0.4701784299603709,0.8873871195819777,0.5475860809041825,0.13695891559781484,0.4343142594942049,0.6833340705687079,0.3852606961526183,0.11006480087125169,0.584866307303947,0.8288366841738231,0.44754790120272925,0.1292420044056623,1.457,0.01200000000000001,0.008304498269896099,0.01200000000000001,1.768,-0.006999999999999895,-0.003943661971830936,0.006999999999999895,2894.6,-22.450000000000273,-0.007696131365591996,22.450000000000273,22.0822,0.21509999999999962,0.009836695309391796,0.21509999999999962,4.607,0.025000000000000355,3.077,-0.03200000000000003,12.7647,0.08199999999999896,10.8925,0.11950000000000038,9.884,0.07190000000000119,-0.31099999999999994,0.018999999999999906,-0.05757575757575728,0.018999999999999906,1.5300000000000002,0.057000000000000384,0.057000000000000384,0.01810731896223161,0.013437819763637133,0.05649601755876232,0.17915130963271392,0.04758428612172602,0.015886539675371087,0.058104339646142394,0.17673281360525062,0.05358202267665775,0.017200892759550286,0.046322374904517516,0.17124123902713093,1.6197,-0.009400000000000075,-0.005770057086735059,-0.005786768179772694,0.005786768179772694,8.7227,-0.29080000000000084,9.2236,-0.04690000000000083,8.9679,-0.03059999999999974,0.989,3.365,-0.025999999999999912,0.025999999999999912,-0.025615763546797954,-0.011999999999999567,0.011999999999999567,-0.0035534498075213694,2.3760000000000003,0.014000000000000234,0.014000000000000234,5925.87,18.78,-19.090000000000146,-0.003211123371730018,0.003211123371730018,1.0800000000000018,0.06101694915254252,0.03832101251271935,0.04367264590106715,0.01325895923517361,0.13062752520656717,0.055417807005811164,0.047087658882637405,0.032357600122912146,0.16233465869568472,0.045497916654137834,0.04379084370997594,0.028468926476170088,0.14513180252826735
